enlace,address,price,expensas,tipo,superficie,cantidad_ambientes,cantidad_dormitorios,cantidad_banos,latitud,longitud
https://www.argenprop.com/departamento-en-alquiler-en-resistencia-2-ambientes--16364770,"Arbo Y Blanco 800, Piso 1",$ 320.000,,Departamento,45 m² cubie.,2 ambientes,1 dorm.,1 baño,"-27,46236","-58,98879"
https://www.argenprop.com/departamento-en-alquiler-en-resistencia-3-ambientes--6559009,"Arbo Y Blanco 800, Piso 2°",$ 350.000,+ $15.000 expensas,Departamento,,3 ambientes,2 dorm.,1 baño,"-27,46245","-58,98872"
https://www.argenprop.com/departamento-en-alquiler-en-resistencia-5-ambientes--9046760,"Av. Alberdi 200, Piso 6",$ 550.000,+ $130.000 expensas,Departamento,,5 ambientes,4 dorm.,2 baños,"-27,4529","-58,98876"
https://www.argenprop.com/departamento-en-alquiler-en-macrocentro-2-ambientes--16300625,"Catamarca 1300, Piso 3",$ 200.000,+ $30.000 expensas,Departamento,,2 ambientes,1 dorm.,1 baño,"-28,46958","-65,77954"
https://www.argenprop.com/departamento-en-alquiler-en-zona-unne-1-ambiente--16361737,Arbo Y Blanco 1300,$ 200.000,,Departamento,,Monoam.,,1 baño,"-27,46728","-58,99368"
https://www.argenprop.com/departamento-en-alquiler-en-zona-residencial-2-ambientes--8106500,Fray Capelli 100,$ 320.000,,Departamento,,2 ambientes,1 dorm.,1 baño,"-27,44072","-59,00003"
https://www.argenprop.com/departamento-en-alquiler-en-resistencia-1-ambiente--9688176,"Las Heras 700, Piso 3",$ 240.000,+ $51.300 expensas,Departamento,,Monoam.,,1 baño,"-27,46324","-58,98612"
https://www.argenprop.com/departamento-en-alquiler-en-centro-4-ambientes--15195540,JUSTO JUAN B. 100,$ 400.000,,Departamento,90 m² cubie.,4 ambientes,3 dorm.,2 baños,"-27,452848","-58,986137"
https://www.argenprop.com/departamento-en-alquiler-en-centro-1-ambiente--8244066,PERON JUAN DOMINGO 700,$ 150.000,+ $15.000 expensas,Departamento,23 m² cubie.,Monoam.,,1 baño,"-27,446608","-58,994915"
https://www.argenprop.com/departamento-en-alquiler-en-villa-san-juan-1-ambiente--12993799,PARODI 200,$ 95.000,+ $20.000 expensas,Departamento,20 m² cubie.,Monoam.,,1 baño,"-27,46824","-58,971584"
https://www.argenprop.com/departamento-en-alquiler-en-villa-asuncion-1-ambiente--15901269,Zorrilla 600,$ 100.000,,Departamento,,Monoam.,,1 baño,"-26,58577","-60,95401"
https://www.argenprop.com/departamento-en-alquiler-en-villa-maria-4-ambientes--8445979,JULIO A. ROCA 1000,$ 370.000,+ $30.000 expensas,Departamento,75 m² cubie.,4 ambientes,3 dorm.,1 baño,"-27,443851","-58,996346"
https://www.argenprop.com/departamento-en-alquiler-en-centro-2-ambientes--16094517,NECOCHEA 200,$ 260.000,,Departamento,45 m² cubie.,2 ambientes,1 dorm.,1 baño,"-27,45056","-58,991222"
https://www.argenprop.com/departamento-en-alquiler-en-villa-asuncion-2-ambientes--8302316,HERNANDEZ 1000,$ 160.000,+ $2.500 expensas,Departamento,40 m² cubie.,2 ambientes,1 dorm.,1 baño,"-27,448154","-58,97071"
https://www.argenprop.com/departamento-en-alquiler-en-microcentro-3-ambientes--16101071,PJE DEL TEATRO 100,$ 320.000,+ $10.000 expensas,Departamento,60 m² cubie.,3 ambientes,2 dorm.,,"-27,456676","-58,99014"
https://www.argenprop.com/departamento-en-alquiler-en-microcentro-4-ambientes--16193250,LOPEZ Y PLANES 600,$ 390.000,+ $170.000 expensas,Departamento,95 m² cubie.,4 ambientes,3 dorm.,2 baños,"-27,448084","-58,97801"
https://www.argenprop.com/departamento-en-alquiler-en-macrocentro-4-ambientes--16193274,PUEYRREDON 400,$ 450.000,+ $20.000 expensas,Departamento,70 m² cubie.,4 ambientes,3 dorm.,2 baños,"-27,447077","-58,985634"
https://www.argenprop.com/departamento-en-alquiler-en-zona-unne-4-ambientes--16215932,Av Chaco 1300,$ 350.000,,Departamento,,4 ambientes,3 dorm.,1 baño,"-27,47415","-58,98439"
https://www.argenprop.com/departamento-en-alquiler-en-centro-4-ambientes--16255465,"Arbo Y Blanco 200, Piso 1",$ 300.000,,Departamento,,4 ambientes,3 dorm.,2 baños,"-27,45746","-58,98326"
https://www.argenprop.com/departamento-en-alquiler-en-centro-2-ambientes--8946686,NECOCHEA 100,$ 210.000,+ $15.000 expensas,Departamento,30 m² cubie.,2 ambientes,1 dorm.,1 baño,"-27,449608","-58,99009"
https://www.argenprop.com/departamento-en-alquiler-en-resistencia--16296093,"Alte G Brown 100, Piso 14",$ 450.000,+ $100.000 expensas,Departamento,,,3 dorm.,1 baño,"-27,450562","-58,98345"
https://www.argenprop.com/departamento-en-alquiler-en-villa-centenario-2-ambientes--16296262,Jose M Paz 900,$ 160.000,,Departamento,,2 ambientes,1 dorm.,1 baño,"-34,73257","-58,4285"
https://www.argenprop.com/departamento-en-alquiler-en-los-troncos-2-ambientes--16296352,"Av. Rissione 600, Piso 2",$ 350.000,+ $18.000 expensas,Departamento,,2 ambientes,1 dorm.,1 baño,"-27,44341","-58,96642"
https://www.argenprop.com/departamento-en-alquiler-en-centro-2-ambientes--16300989,Av. Chaco 1500,$ 250.000,,Departamento,33 m² cubie.,2 ambientes,1 dorm.,1 baño,"-27,4761","-58,98611"
https://www.argenprop.com/departamento-en-alquiler-en-villa-del-oeste-3-ambientes--8478963,1º DE MAYO 1100,$ 150.000,+ $15.000 expensas,Departamento,60 m² cubie.,3 ambientes,2 dorm.,1 baño,"-27,456268","-59,00619"
https://www.argenprop.com/departamento-en-alquiler-en-villa-alta-1-ambiente--9047880,SICAS 100,$ 95.000,,Departamento,24 m² cubie.,Monoam.,,,"-27,436663","-59,002605"
https://www.argenprop.com/departamento-en-alquiler-en-nueva-resistencia-3-ambientes--16349490,Mz. 69 - Uf. 16 - Barrio Nueva Resistencia 100,$ 220.000,,Departamento,55 m² cubie.,3 ambientes,2 dorm.,1 baño,"-27,441229","-59,020306"
https://www.argenprop.com/departamento-en-alquiler-en-macrocentro-2-ambientes--16349527,ALEM LEANDRO N. 400,$ 250.000,+ $15.000 expensas,Departamento,40 m² cubie.,2 ambientes,1 dorm.,1 baño,"-27,461796","-58,990616"
https://www.argenprop.com/departamento-en-alquiler-en-macrocentro-1-ambiente--10207131,CORRIENTES 700,$ 270.000,+ $40.000 expensas,Departamento,38 m² cubie.,Monoam.,,1 baño,"-27,44282","-58,990257"
https://www.argenprop.com/departamento-en-alquiler-en-villa-centenario-2-ambientes--15481686,SAN MARTIN 1000,Consultar precio,+ $15.000 expensas,Departamento,40 m² cubie.,2 ambientes,1 dorm.,1 baño,"-27,4636","-58,991474"
https://www.argenprop.com/departamento-en-alquiler-en-resistencia-1-ambiente--15771825,Pasaje Wilde 1100,$ 100.000,+ $7.000 expensas,Departamento,,Monoam.,,1 baño,"-27,43835","-58,98016"
https://www.argenprop.com/departamento-en-alquiler-en-resistencia-4-ambientes--16376382,"av piacentini 1300, Piso 1",$ 400.000,+ $115.000 expensas,Departamento,76 m² cubie.,4 ambientes,2 dorm.,2 baños,"-27,47154","-58,986313"
https://www.argenprop.com/departamento-en-alquiler-en-centro-4-ambientes--13008260,AV PARAGUAY 100,$ 220.000,+ $48.000 expensas,Departamento,140 m² cubie.,4 ambientes,3 dorm.,4 baños,"-27,44806","-58,981457"
https://www.argenprop.com/departamento-en-alquiler-en-centro-2-ambientes--13058843,AV.9 DE JULIO 700,$ 200.000,+ $15.000 expensas,Departamento,45 m² cubie.,2 ambientes,1 dorm.,1 baño,"-26,585766","-60,954006"
https://www.argenprop.com/departamento-en-alquiler-en-centro-3-ambientes--14425576,IRIGOYEN 400,$ 80.000,,Departamento,70 m² cubie.,3 ambientes,2 dorm.,,"-27,453304","-58,982132"
https://www.argenprop.com/departamento-en-alquiler-en-centro-2-ambientes--6581493,"AV LAS HERAS 700, Piso 2",$ 120.000,+ $50.000 expensas,Departamento,55 m² cubie.,2 ambientes,1 dorm.,1 baño,"-27,462883","-58,985634"
https://www.argenprop.com/departamento-en-alquiler-en-centro-2-ambientes--14572138,JUAN D.PERON 600,$ 100.000,+ $35.000 expensas,Departamento,55 m² cubie.,2 ambientes,1 dorm.,1 baño,"-27,44803","-58,99352"
https://www.argenprop.com/departamento-en-alquiler-en-centro-3-ambientes--14906492,GARCIA MEROU 200,$ 160.000,+ $40.000 expensas,Departamento,55 m² cubie.,3 ambientes,2 dorm.,1 baño,"-27,45666","-58,996166"
https://www.argenprop.com/departamento-en-alquiler-en-centro-2-ambientes--11616830,AV.BELGRANO 100,$ 150.000,+ $50.000 expensas,Departamento,45 m² cubie.,2 ambientes,1 dorm.,,"-27,448004","-58,991825"
https://www.argenprop.com/departamento-en-alquiler-en-centro-5-ambientes--15283675,AV.CASTELLI 400,$ 250.000,,Departamento,200 m² cubie.,5 ambientes,4 dorm.,,"-27,460798","-58,990322"
https://www.argenprop.com/departamento-en-alquiler-en-centro-2-ambientes--15288168,JUAN B.JUSTO 100,$ 230.000,,Departamento,70 m² cubie.,2 ambientes,1 dorm.,1 baño,"-27,452702","-58,98649"
https://www.argenprop.com/departamento-en-alquiler-en-centro-3-ambientes--15330808,AV.9 DE JULIO 300,$ 200.000,+ $40.000 expensas,Departamento,75 m² cubie.,3 ambientes,2 dorm.,2 baños,"-26,585766","-60,954006"
https://www.argenprop.com/departamento-en-alquiler-en-centro-3-ambientes--15403803,JUAN B.JUSTO 100,$ 200.000,+ $50.000 expensas,Departamento,65 m² cubie.,3 ambientes,2 dorm.,,"-27,452702","-58,98649"
https://www.argenprop.com/departamento-en-alquiler-en-centro-1-ambiente--15529006,ARBO Y BLANCO 800,$ 100.000,,Departamento,35 m² cubie.,Monoam.,,,"-27,462057","-58,98817"
https://www.argenprop.com/departamento-en-alquiler-en-centro-1-ambiente--15536757,AV.LAS HERAS 700,$ 150.000,+ $50.000 expensas,Departamento,35 m² cubie.,Monoam.,,,"-27,462831","-58,985558"
https://www.argenprop.com/departamento-en-alquiler-en-centro-3-ambientes--15853411,FORMOSA 400,$ 650.000,+ $120.000 expensas,Departamento,65 m² cubie.,3 ambientes,2 dorm.,2 baños,"-27,442028","-58,988285"
https://www.argenprop.com/departamento-en-alquiler-en-espana-2-ambientes--6581505,"HNOS.PINZON 1500, Piso P.B.",$ 150.000,,Departamento,45 m² cubie.,2 ambientes,1 dorm.,,"-27,445766","-59,018402"
https://www.argenprop.com/departamento-en-alquiler-en-centro-3-ambientes--15897072,Av.Avalos 500,$ 280.000,+ $50.000 expensas,Departamento,75 m² cubie.,3 ambientes,2 dorm.,1 baño,"-27,440973","-58,98908"
https://www.argenprop.com/departamento-en-alquiler-en-centro-3-ambientes--6581402,"CONCEP. DEL BERMEJO 200, Piso 3",$ 320.000,+ $30.000 expensas,Departamento,54 m² cubie.,3 ambientes,2 dorm.,1 baño,"-27,441618","-58,993656"
https://www.argenprop.com/departamento-en-alquiler-en-villa-del-parque-1-ambiente--16010187,AV MARCONI 100,$ 140.000,,Departamento,32 m² cubie.,Monoam.,,1 baño,"-27,462788","-59,00172"
https://www.argenprop.com/departamento-en-alquiler-en-macrocentro-2-ambientes--16042085,RODRIGUEZ PEÑA AV. 200,$ 200.000,,Departamento,30 m² cubie.,2 ambientes,1 dorm.,1 baño,"-27,74898","-59,012367"
https://www.argenprop.com/departamento-en-alquiler-en-espana-3-ambientes--16071370,AZOPARDO JUAN B. 1800,$ 180.000,,Departamento,70 m² cubie.,3 ambientes,2 dorm.,1 baño,"-27,441233","-59,016018"
https://www.argenprop.com/departamento-en-alquiler-en-villa-centenario-3-ambientes--16098191,ALEM LEANDRO N. 200,$ 350.000,+ $18.000 expensas,Departamento,55 m² cubie.,3 ambientes,2 dorm.,1 baño,"-27,4604","-58,991997"
https://www.argenprop.com/departamento-en-alquiler-en-centro-2-ambientes--16098223,AYACUCHO 100,$ 300.000,+ $18.000 expensas,Departamento,35 m² cubie.,2 ambientes,1 dorm.,1 baño,"-27,448915","-58,981865"
https://www.argenprop.com/departamento-en-alquiler-en-centro-3-ambientes--16140470,VEDIA 100,$ 350.000,,Departamento,65 m² cubie.,3 ambientes,2 dorm.,1 baño,"-27,45111","-58,989655"
https://www.argenprop.com/departamento-en-alquiler-en-santa-rita-3-ambientes--16143834,FOTHERINGHAM 2000,$ 380.000,,Departamento,80 m² cubie.,3 ambientes,2 dorm.,2 baños,"-27,452488","-59,021606"
https://www.argenprop.com/departamento-en-alquiler-en-villa-alta-2-ambientes--16143898,RAUL B DIAZ 300,$ 220.000,+ $18.000 expensas,Departamento,40 m² cubie.,2 ambientes,1 dorm.,1 baño,"-27,437546","-58,99653"
https://www.argenprop.com/departamento-en-alquiler-en-centro-3-ambientes--16204446,AV LAS HERAS 500,$ 260.000,+ $18.000 expensas,Departamento,50 m² cubie.,3 ambientes,2 dorm.,1 baño,"-27,46134","-58,98416"
https://www.argenprop.com/departamento-en-alquiler-en-centro-2-ambientes--16204447,AYACUCHO 100,$ 300.000,+ $18.000 expensas,Departamento,35 m² cubie.,2 ambientes,1 dorm.,1 baño,"-27,448915","-58,981865"
https://www.argenprop.com/departamento-en-alquiler-en-llaponagat-4-ambientes--16218604,PJE. ARTURO LESTANI 100,$ 350.000,,Departamento,55 m² cubie.,4 ambientes,3 dorm.,1 baño,"-27,480268","-58,97621"
https://www.argenprop.com/departamento-en-alquiler-en-villa-central-norte-1-ambiente--16220727,OBLIGADO 900,$ 170.000,+ $15.900 expensas,Departamento,35 m² cubie.,Monoam.,,1 baño,"-27,46096","-58,980816"
https://www.argenprop.com/departamento-en-alquiler-en-villa-del-parque-2-ambientes--16139434,NECOCHEA 1200,$ 140.000,,Departamento,32 m² cubie.,2 ambientes,1 dorm.,1 baño,"-27,458275","-59,00007"
https://www.argenprop.com/departamento-en-alquiler-en-centro-2-ambientes--16244431,AV. RIVADAVIA 700,$ 450.000,,Departamento,100 m² cubie.,2 ambientes,1 dorm.,1 baño,"-27,441223","-58,98858"
https://www.argenprop.com/departamento-en-alquiler-en-centro-2-ambientes--9387008,AV. ALVEAR 200,$ 250.000,,Departamento,48 m² cubie.,2 ambientes,1 dorm.,1 baño,"-27,420132","-59,035812"
https://www.argenprop.com/departamento-en-alquiler-en-villa-central-norte-1-ambiente--16272553,Avenida 9 Julio 1000,$ 150.000,,Departamento,40 m² cubie.,Monoam.,,1 baño,"-27,459541","-58,977287"
https://www.argenprop.com/departamento-en-alquiler-en-resistencia-4-ambientes--16276040,Donovan 700,$ 330.000,+ $77.000 expensas,Departamento,54 m² cubie.,4 ambientes,2 dorm.,1 baño,"-27,453806","-58,996452"
https://www.argenprop.com/departamento-en-alquiler-en-villa-alta-1-ambiente--16292884,roberto mora 200,$ 200.000,,Departamento,32 m² cubie.,Monoam.,,1 baño,"-27,439072","-58,99601"
https://www.argenprop.com/departamento-en-alquiler-en-centro-2-ambientes--16298133,AV.ALVEAR 200,$ 280.000,+ $50.000 expensas,Departamento,45 m² cubie.,2 ambientes,1 dorm.,1 baño,"-27,420132","-59,035812"
https://www.argenprop.com/departamento-en-alquiler-en-centro-3-ambientes--16300177,Avenida Alberdi 200,$ 500.000,+ $70.000 expensas,Departamento,85 m² cubie.,3 ambientes,2 dorm.,1 baño,"-27,452965","-58,988785"
https://www.argenprop.com/departamento-en-alquiler-en-resistencia-2-ambientes--16306793,2 DE FEBRERO 100,$ 200.000,+ $20.000 expensas,Departamento,38 m² cubie.,2 ambientes,1 dorm.,1 baño,"-27,461487","-59,002506"
https://www.argenprop.com/departamento-en-alquiler-en-villa-del-carmen-2-ambientes--16312456,NICOLAS R. ACOSTA 200,$ 270.000,+ $30.000 expensas,Departamento,38 m² cubie.,2 ambientes,1 dorm.,1 baño,"-27,46207","-58,97759"
https://www.argenprop.com/departamento-en-alquiler-en-centro-2-ambientes--16319376,SARMIENTO AV. 500,$ 350.000,+ $130.000 expensas,Departamento,50 m² cubie.,2 ambientes,1 dorm.,1 baño,"-27,446606","-58,98171"
https://www.argenprop.com/departamento-en-alquiler-en-centro-2-ambientes--15313516,Cordoba 700,$ 350.000,+ $50.000 expensas,Departamento,51 m² cubie.,2 ambientes,1 dorm.,1 baño,"-27,451601","-58,973778"
https://www.argenprop.com/departamento-en-alquiler-en-macrocentro-1-ambiente--6581256,"Cordoba 700, Piso 3",$ 280.000,,Departamento,37 m² cubie.,Monoam.,,1 baño,"-27,451546","-58,973934"
https://www.argenprop.com/departamento-en-alquiler-en-resistencia-3-ambientes--16334061,Vedia 300,$ 380.000,+ $100.000 expensas,Departamento,50 m² cubie.,3 ambientes,2 dorm.,1 baño,"-27,452078","-58,99142"
https://www.argenprop.com/departamento-en-alquiler-en-centro-4-ambientes--16347647,AVALOS 300,Consultar precio,+ $220.000 expensas,Departamento,200 m² cubie.,4 ambientes,3 dorm.,3 baños,"-27,442776","-58,990894"
https://www.argenprop.com/departamento-en-alquiler-en-centro-3-ambientes--16347658,SALTA 300,$ 700.000,+ $250.000 expensas,Departamento,100 m² cubie.,3 ambientes,2 dorm.,2 baños,"-27,451162","-58,991714"
https://www.argenprop.com/departamento-en-alquiler-en-centro-5-ambientes--15814437,9 DE JULIO 300,$ 450.000,+ $110.000 expensas,Departamento,115 m² cubie.,5 ambientes,4 dorm.,3 baños,"-27,45421","-58,984207"
https://www.argenprop.com/departamento-en-alquiler-en-llaponagat-3-ambientes--16361963,Av. Chaco 1100,$ 350.000,,Departamento,62 m² cubie.,3 ambientes,2 dorm.,1 baño,"-27,47257","-58,982048"
https://www.argenprop.com/departamento-en-alquiler-en-villa-centenario-2-ambientes--6582167,"ARBO Y BLANCO 1100, Piso P.B.",$ 170.000,,Departamento,30 m² cubie.,2 ambientes,1 dorm.,1 baño,"-27,464682","-58,99149"
https://www.argenprop.com/departamento-en-alquiler-en-centro-3-ambientes--16373452,AV SARMIENTO 700,Consultar precio,,Departamento,80 m² cubie.,3 ambientes,2 dorm.,2 baños,"-27,445171","-58,980213"
